batch_size,fold,best_filters_1,best_filters_2,learning_rate,activation,kernel_size_1,kernel_size_2,l2_reg_1,l2_reg_2,pool_size_1,pool_size_2,dropout_1,dropout_2,up_sampling_size_1,up_sampling_size_2,val_loss
16,1,48,24,0.0012074640858440577,relu,3,3,0.0,0.1,2,2,0.2,0.1,4,4,"MetricObservation(value=[0.006270815152674913], step=27)"
16,2,48,24,0.0012074640858440577,relu,3,3,0.0,0.1,2,2,0.2,0.1,4,4,"MetricObservation(value=[0.006270815152674913], step=27)"
16,3,48,24,0.0012074640858440577,relu,3,3,0.0,0.1,2,2,0.2,0.1,4,4,"MetricObservation(value=[0.006270815152674913], step=27)"
16,4,48,24,0.0012074640858440577,relu,3,3,0.0,0.1,2,2,0.2,0.1,4,4,"MetricObservation(value=[0.006270815152674913], step=27)"
16,5,48,24,0.0012074640858440577,relu,3,3,0.0,0.1,2,2,0.2,0.1,4,4,"MetricObservation(value=[0.006270815152674913], step=27)"
32,1,48,16,0.0016322487249990423,tanh,3,5,0.03,0.03,2,4,0.30000000000000004,0.4,4,4,"MetricObservation(value=[0.008099541068077087], step=12)"
32,2,48,16,0.0016322487249990423,tanh,3,5,0.03,0.03,2,4,0.30000000000000004,0.4,4,4,"MetricObservation(value=[0.008099541068077087], step=12)"
32,3,48,16,0.0016322487249990423,tanh,3,5,0.03,0.03,2,4,0.30000000000000004,0.4,4,4,"MetricObservation(value=[0.008099541068077087], step=12)"
32,4,48,16,0.0016322487249990423,tanh,3,5,0.03,0.03,2,4,0.30000000000000004,0.4,4,4,"MetricObservation(value=[0.008099541068077087], step=12)"
32,5,48,16,0.0016322487249990423,tanh,3,5,0.03,0.03,2,4,0.30000000000000004,0.4,4,4,"MetricObservation(value=[0.008099541068077087], step=12)"
64,1,16,8,0.0023502267630575342,relu,5,5,0.01,0.01,2,4,0.0,0.2,4,4,"MetricObservation(value=[0.006751386448740959], step=26)"
64,2,16,8,0.0023502267630575342,relu,5,5,0.01,0.01,2,4,0.0,0.2,4,4,"MetricObservation(value=[0.006751386448740959], step=26)"
64,3,16,8,0.0023502267630575342,relu,5,5,0.01,0.01,2,4,0.0,0.2,4,4,"MetricObservation(value=[0.006751386448740959], step=26)"
64,4,16,8,0.0023502267630575342,relu,5,5,0.01,0.01,2,4,0.0,0.2,4,4,"MetricObservation(value=[0.006751386448740959], step=26)"
64,5,16,8,0.0023502267630575342,relu,5,5,0.01,0.01,2,4,0.0,0.2,4,4,"MetricObservation(value=[0.006751386448740959], step=26)"
